Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.10,α = 0.,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,,
,,,,EDD,,ILS,,GRASP,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,
Workers,Jobs,T,R,Tmax,CPU time (m),Tmax,CPU time (m),Tmax,CPU time (m),ILS - EDD,GRASP - EDD,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
30,50,0.2,0.2,2070,0.25,1636,0.72,1943,0.95,20.97%,6.14%,2068,0.000128111,2750,0.000135026,1476,0.0164735,2068,0.000085191,2750,0.000092251,1404,0.0261692,2068,0.000081943,2750,0.000087608,1490,0.0210722,
30,50,0.8,0.2,4532,0,4090,0.71,4223,0.93,9.75%,6.82%,4529,0.000081494,4464,0.000086875,3867,0.0170885,4529,0.00008328,4464,0.000086574,3860,0.0215291,4529,0.000082117,4464,0.000086805,3830,0.0303028,
50,50,0.2,0.2,3664,0,2998,0.96,3390,1.3,18.18%,7.48%,3664,0.000768756,3906,0.000682513,2635,0.0411301,3664,0.000531198,3906,0.00050749,2682,0.0568934,3664,0.000173643,3906,0.000156142,2711,0.0621517,
50,50,0.8,0.2,6392,0,5503,0.95,5928,1.38,13.91%,7.26%,6392,0.000215951,6121,0.000274071,5267,0.0213661,6392,0.00019584,6121,0.000160943,5232,0.0315256,6392,0.000124138,6121,0.000140416,5191,0.0406299,
30,150,0.2,0.2,4350,0,3684,4.61,4348,5.77,15.31%,0.05%,4383,0.000790261,5285,0.000638419,3015,0.345429,4383,0.000466407,5285,0.000451511,3016,0.468518,4383,0.000616115,5285,0.000795906,2901,0.371935,
30,150,0.8,0.2,9721,0,8863,4.49,9527,5.79,8.83%,2.00%,9721,0.000472999,9726,0.000452601,8305,0.220091,9721,0.000452402,9726,0.00041899,8222,0.289092,9721,0.000477086,9726,0.00042019,8056,0.454691,
50,150,0.2,0.2,6801,0,5732,5.41,6546,6.71,15.72%,3.75%,6801,0.0013775,7092,0.000824659,5121,0.584975,6801,0.000735434,7092,0.00078769,5203,0.517797,6801,0.000907776,7092,0.00138034,5037,1.20703,
50,150,0.8,0.2,11392,"
0.000",10707,5.52,11482,6.9,6.01%,"−0.79%
",11378,0.00092065,11761,0.000720498,10054,0.751809,11378,0.00121122,11761,0.00080331,10093,0.619316,11378,0.00187066,11761,0.000829128,10077,1.28306,
30,250,0.2,0.2,5525,0,4157,11.31,5238,15.29,24.79%,5.19%,5525,0.000950024,6014,0.000923875,3258,1.67525,5525,0.00126172,6014,0.00093842,3139,2.74228,5525,0.00106673,6014,0.00113697,3218,2.75322,
