Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
2,20,0.2,0.2,5376.37,1000∗,5384.93,0.03,5899.93,0.09,100.00%,0.20%,9.70%,6521.3,0.000014276,5841.76,0.000010878,5360.11,,6521.3,0.00001407,5841.76,0.000011498,5376.63,,6521.3,0.00001901,5841.76,0.000017564,5478.2,
,,0.8,0.2,5954.28,1000∗,6011.93,0.03,7508.93,0.09,92.50%,1.00%,26.10%,8431.39,0.000025526,7080.65,0.000021804,6056.67,,8431.39,0.000012521,7080.65,0.000010311,5981.67,,8431.39,0.00001334,7080.65,0.000010567,6011.65,
3,5,0.2,0.2,652.24,0.88,652.08,0,703.62,0.01,0.00%,0.00%,7.90%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,874.24,0.58,874.08,0,925.62,0.01,0.00%,0.00%,5.90%,,,,,,,,,,,,,,,,,,
3,10,0.2,0.2,1956.02,1000∗,2096.26,0.01,2145.26,0.03,71.60%,7.20%,9.70%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,2226.4,1000∗,2252.26,0.01,2590.29,0.03,50.10%,1.20%,16.30%,,,,,,,,,,,,,,,,,,
3,20,0.2,0.2,4694.5,1000∗,4665.67,0.03,6739.4,0.1,96.60%,−0.6%,43.60%,7424.39,0.000016211,5216.46,0.000011455,4727.4,,7424.39,0.000028247,5216.46,0.000021034,4650.56,,7424.39,0.000024193,5216.46,0.000019745,4715.22,
,,0.8,0.2,4775.29,1000∗,5300.84,0.03,6989.4,0.1,96.80%,11.00%,46.40%,7941.24,0.000027332,5985.24,0.000021753,5187.15,,7941.24,0.000024504,5985.24,0.000021572,5191.73,,7941.24,0.00002881,5985.24,0.000021058,5183.04,
5,5,0.2,0.2,855,0.81,854.98,0.01,932.55,0.02,0.00%,0.00%,9.10%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,1091,0.7,1091,0.01,1090.98,0.02,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,
5,10,0.2,0.2,3069.21,1000∗,3069.95,0.01,3648.95,0.04,49.90%,0.00%,18.90%,,,,,,,,,,,,,,,,,,
,,0.8,0.2,3374.2,1000∗,3397.95,0.01,4109.74,0.04,35.40%,0.70%,21.80%,,,,,,,,,,,,,,,,,,
5,20,0.2,0.2,7914.54,1000∗,7084.61,37,8622.61,0.11,93.40%,−10.5%,8.90%,9200.39,0.000018034,7564.53,0.000013035,6944.75,,9200.39,0.000016559,7564.53,0.0000133,7010.78,,9200.39,0.000016375,7564.53,0.000034276,7072.56,
,,0.8,0.2,8533.33,1000∗,8173.42,37,9163.42,0.11,83.80%,−4.2%,7.40%,10685.2,0.00002456,8764.33,0.000020221,7854.02,,10685.2,0.000025189,8764.33,0.000020074,7885.8,,10685.2,0.000016001,8764.33,0.000013198,7994.35,
"
10","
50",0.2,0.2,48.374.71,1000∗,41.593.17,211,45.985.17,0.61,100.00%,−14.0%,−4.9%,49702.4,0.000041843,46508.8,0.00004191,38375.9,,49702.4,0.00004238,46508.8,0.000041992,38909.1,,49702.4,0.000042533,46508.8,0.000041988,38211.4,
,,0.8,0.2,50.468.71,1000∗,44.312.23,207,49.565.74,0.61,100.00%,−12.2%,−1.8%,53711.2,0.000042069,48877.9,0.000041184,40392.2,,53711.2,0.000042576,48877.9,0.000040827,40037.8,,53711.2,0.000046618,48877.9,0.0000429,40342.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.10,α = 0.,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,,
,,,,EDD,,ILS,,GRASP,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,
Workers,Jobs,T,R,Tmax,CPU time (m),Tmax,CPU time (m),Tmax,CPU time (m),ILS - EDD,GRASP - EDD,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
30,50,0.2,0.2,2070,0.25,1636,0.72,1943,0.95,20.97%,6.14%,2068,0,2750,0,1514,,2068,0,2750,0,1540,,2068,0,2750,0,1438,,
30,50,0.8,0.2,4532,0,4090,0.71,4223,0.93,9.75%,6.82%,4529,0,4464,0,3863,,4529,0,4464,0,3770,,4529,0,4464,0,3778,,
50,50,0.2,0.2,3664,0,2998,0.96,3390,1.3,18.18%,7.48%,3664,0,3906,0,2668,,3664,0,3906,0,2749,,3664,0,3906,0,2723,,
50,50,0.8,0.2,6392,0,5503,0.95,5928,1.38,13.91%,7.26%,6392,0,6121,0,5217,,6392,0,6121,0,5166,,6392,0,6121,0,5183,,
30,150,0.2,0.2,4350,0,3684,4.61,4348,5.77,15.31%,0.05%,4383,0,5285,0,3089,,4383,0,5285,0,2977,,4383,0,5285,0,2943,,
30,150,0.8,0.2,9721,0,8863,4.49,9527,5.79,8.83%,2.00%,9721,0,9726,0,8140,,9721,0,9726,0,8129,,9721,0,9726,0,8231,,
50,150,0.2,0.2,6801,0,5732,5.41,6546,6.71,15.72%,3.75%,6801,0,7092,0,5153,,6801,0,7092,0,5102,,6801,0,7092,0,4952,,
50,150,0.8,0.2,11392,"
0.000",10707,5.52,11482,6.9,6.01%,"−0.79%
",11378,0,11761,0,10192,,11378,0,11761,0,10100,,11378,0,11761,0,9946,,
30,250,0.2,0.2,5525,0,4157,11.31,5238,15.29,24.79%,5.19%,5525,0,6014,0,3214,,5525,0,6014,0,3184,,5525,0,6014,0,3214,,
30,250,0.8,0.2,13.62,0,12.71,11.34,13.83,15.94,6.68%,-1.50%,13657,0,14271,0,11916,,13657,0,14271,0,11733,,13657,0,14271,0,11658,,
50,250,0.2,0.2,7884,0,7120,13.28,7987,19.47,9.69%,-1.31%,7885,0,8616,0,5884,,7885,0,8616,0,5844,,7885,0,8616,0,5776,,
50,250,0.8,0.2,16.61,0,15.61,12.81,16.27,17.54,6.04%,2.04%,16612,0,16441,0,14116,,16612,0,16441,0,14137,,16612,0,16441,0,14152,,
30,350,0.2,0.2,7549,0,6302,20.21,7461,32.37,16.52%,1.17%,7549,0,9891,0,5901,,7549,0,9891,0,4951,,7549,0,9891,0,5049,,
"
30",350,0.8,0.2,18743,0,17534,21.74,18927,31.27,6.45%,−0.98%,18744,0,20129,0,16143,,18744,0,20129,0,16006,,18744,0,20129,0,16081,,
50,350,0.2,0.2,9654,0,7983,22.87,9146,40.06,17.31%,5.26%,9734,0,11177,0,6564,,9734,0,11177,0,6481,,9734,0,11177,0,6494,,
50,350,0.8,0.2,21.08,0,19.52,23.1,20700,33.71,7.39%,1.80%,21079,0,21193,0,18206,,21079,0,21193,0,18087,,21079,0.01,21193,0,18604,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.11,,,,,,α = 0.2.,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,,
,,,,EDD,,ILS,,GRASP,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,
Workers,Jobs,T,R,Tmax,CPU time (m),Tmax,CPU time (m),Tmax,CPU time (m),ILS –EDD,GRASP - EDD,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
30,50,0.2,0.2,7032.02,0,5979.02,0.69,6598.02,0.93,14.97%,6.17%,7030.77,0,7395.99,0,5808.63,,7030.77,0,7395.99,0,5848.43,,7030.77,0,7395.99,0,5800.7,,
30,50,0.8,0.2,9561.91,0,8380.91,0.69,8898.43,0.93,12.35%,6.94%,9566.41,0,9020.89,0,8122.77,,9566.41,0,9020.89,0,8203.78,,9566.41,0,9020.89,0,8180.2,,
50,50,0.2,0.2,10.500.82,0,8558.23,1.07,9747.82,1.37,18.50%,7.17%,10500.8,0,9881.75,0,8337.02,,10500.8,0,9881.75,0,8133.62,,10500.8,0,9881.75,0,8057.48,,
